Date,CCI Rate
01/01/2015,100.5
01/02/2015,100.6
01/03/2015,100.7
01/04/2015,100.7
01/05/2015,100.6
01/06/2015,100.6
01/07/2015,100.4
01/08/2015,100.4
01/09/2015,100.3
01/10/2015,100.4
01/11/2015,100.6
01/12/2015,100.6
01/01/2016,100.5
01/02/2016,100.4
01/03/2016,100.4
01/04/2016,100.4
01/05/2016,100.4
01/06/2016,100.4
01/07/2016,100.3
01/08/2016,100.3
01/09/2016,100.4
01/10/2016,100.4
01/11/2016,100.5
01/12/2016,100.5
01/01/2017,100.5
01/02/2017,100.5
01/03/2017,100.6
01/04/2017,100.7
01/05/2017,100.8
01/06/2017,100.8
01/07/2017,100.9
01/08/2017,100.9
01/09/2017,101
01/10/2017,101.1
01/11/2017,101.1
01/12/2017,101.1
01/01/2018,101.1
01/02/2018,101.1
01/03/2018,101.1
01/04/2018,101.1
01/05/2018,101.1
01/06/2018,101.2
01/07/2018,101.2
01/08/2018,101.1
01/09/2018,101.1
01/10/2018,101
01/11/2018,100.9
01/12/2018,100.8
01/01/2019,100.8
01/02/2019,100.8
01/03/2019,100.9
01/04/2019,100.9
01/05/2019,100.9
01/06/2019,100.8
01/07/2019,100.7
01/08/2019,100.5
01/09/2019,100.5
01/10/2019,100.6
01/11/2019,100.7
01/12/2019,100.8
01/01/2020,100.7
01/02/2020,100.2
01/03/2020,99.2
01/04/2020,98.1
01/05/2020,97.7
01/06/2020,97.9
01/07/2020,98.2
01/08/2020,98.4
01/09/2020,98.7
01/10/2020,98.7
01/11/2020,98.8
01/12/2020,98.9
01/01/2021,99
01/02/2021,99.3
01/03/2021,99.7
01/04/2021,100
01/05/2021,100.3
01/06/2021,100.5
01/07/2021,100.4
01/08/2021,100.1
01/09/2021,99.9
01/10/2021,99.8
01/11/2021,99.5
01/12/2021,99.3
