Release Date,CCI Rate
01/01/2014,80.7
01/02/2014,78.1
01/03/2014,82.3
01/04/2014,82.3
01/05/2014,83
01/06/2014,85.2
01/07/2014,90.9
01/08/2014,92.4
01/09/2014,86
01/10/2014,94.5
01/11/2014,88.7
01/12/2014,92.6
01/01/2015,102.9
01/02/2015,96.4
01/03/2015,101.3
01/04/2015,95.2
01/05/2015,95.4
01/06/2015,101.4
01/07/2015,90.9
01/08/2015,101.5
01/09/2015,103
01/10/2015,97.6
01/11/2015,90.4
01/12/2015,96.5
01/01/2016,98.1
01/02/2016,92.2
01/03/2016,96.2
01/04/2016,94.2
01/05/2016,92.6
01/06/2016,98
01/07/2016,97.3
01/08/2016,101.1
01/09/2016,104.1
01/10/2016,98.6
01/11/2016,107.1
01/12/2016,113.7
01/01/2017,111.8
01/02/2017,114.8
01/03/2017,125.6
01/04/2017,120.3
01/05/2017,117.9
01/06/2017,118.9
01/07/2017,121.1
01/08/2017,122.9
01/09/2017,119.8
01/10/2017,125.9
01/11/2017,129.5
01/12/2017,122.1
01/01/2018,125.4
01/02/2018,130.8
01/03/2018,127.7
01/04/2018,128.7
01/05/2018,128
01/06/2018,126.4
01/07/2018,127.4
01/08/2018,133.4
01/09/2018,138.4
01/10/2018,137.9
01/11/2018,135.7
01/12/2018,128.1
01/01/2019,120.2
01/02/2019,131.4
01/03/2019,125.1
01/04/2019,129.2
01/05/2019,134.1
01/06/2019,121.5
01/07/2019,135.7
01/08/2019,135.1
01/09/2019,125.1
01/10/2019,125.9
01/11/2019,125.5
01/12/2019,126.5
01/01/2020,131.6
01/02/2020,130.7
01/03/2020,120
01/04/2020,96.9
01/05/2020,86.6
01/06/2020,98.1
01/07/2020,92.6
01/08/2020,84.8
01/09/2020,101.8
01/10/2020,100.9
01/11/2020,96.1
01/12/2020,88.6
01/01/2021,89.3
01/02/2021,91.3
01/03/2021,109.7
01/04/2021,121.7
01/05/2021,117.2
01/06/2021,127.3
01/07/2021,129.1
01/08/2021,113.8
01/09/2021,109.3
01/10/2021,113.8
01/11/2021,109.5
01/12/2021,115.8
01/01/2022,113.8
01/02/2022,110.5
01/03/2022,107.2
01/04/2022,107.3
01/05/2022,106.4
01/06/2022,98.7
01/07/2022,95.7
01/08/2022,103.2
01/09/2022,108
01/10/2022,102.5
01/11/2022,100.2
01/12/2022,108.3
