Date,Inflation
Jan-15,-0.1
Feb-15,0
Mar-15,-0.1
Apr-15,-0.2
May-15,0
Jun-15,0.1
Jul-15,0.2
Aug-15,0.2
Sep-15,0
Oct-15,0.2
Nov-15,0.5
Dec-15,0.7
Jan-16,1.4
Feb-16,1
Mar-16,0.9
Apr-16,1.1
May-16,1
Jun-16,1
Jul-16,0.8
Aug-16,1.1
Sep-16,1.5
Oct-16,1.6
Nov-16,1.7
Dec-16,2.1
Jan-17,2.5
Feb-17,2.7
Mar-17,2.4
Apr-17,2.2
May-17,1.9
Jun-17,1.6
Jul-17,1.7
Aug-17,1.9
Sep-17,2.2
Oct-17,2
Nov-17,2.2
Dec-17,2.1
Jan-18,2.1
Feb-18,2.2
Mar-18,2.4
Apr-18,2.5
May-18,2.8
Jun-18,2.9
Jul-18,2.9
Aug-18,2.7
Sep-18,2.3
Oct-18,2.5
Nov-18,2.2
Dec-18,1.9
Jan-19,1.6
Feb-19,1.5
Mar-19,1.9
Apr-19,2
May-19,1.8
Jun-19,1.6
Jul-19,1.8
Aug-19,1.7
Sep-19,1.7
Oct-19,1.8
Nov-19,2.1
Dec-19,2.3
Jan-20,2.5
Feb-20,2.3
Mar-20,1.5
Apr-20,0.3
May-20,0.1
Jun-20,0.6
Jul-20,1
Aug-20,1.3
Sep-20,1.4
Oct-20,1.2
Nov-20,1.2
Dec-20,1.4
Jan-21,1.4
Feb-21,1.7
Mar-21,2.6
Apr-21,4.2
May-21,5
Jun-21,5.4
Jul-21,5.4
Aug-21,5.3
Sep-21,5.4
Oct-21,6.2
Nov-21,6.8
Dec-21,7
