Date,GDP growth
01/01/2014,-1.4
01/02/2014,-1.4
01/03/2014,-1.4
01/04/2014,5.3
01/05/2014,5.3
01/06/2014,5.3
01/07/2014,5
01/08/2014,5
01/09/2014,5
01/10/2014,2
01/11/2014,2
01/12/2014,2
01/01/2015,3.6
01/02/2015,3.6
01/03/2015,3.6
01/04/2015,2.5
01/05/2015,2.5
01/06/2015,2.5
01/07/2015,1.6
01/08/2015,1.6
01/09/2015,1.6
01/10/2015,0.7
01/11/2015,0.7
01/12/2015,0.7
01/01/2016,2.3
01/02/2016,2.3
01/03/2016,2.3
01/04/2016,1.3
01/05/2016,1.3
01/06/2016,1.3
01/07/2016,2.9
01/08/2016,2.9
01/09/2016,2.9
01/10/2016,2.2
01/11/2016,2.2
01/12/2016,2.2
01/01/2017,2
01/02/2017,2
01/03/2017,2
01/04/2017,2.3
01/05/2017,2.3
01/06/2017,2.3
01/07/2017,3.2
01/08/2017,3.2
01/09/2017,3.2
01/10/2017,4.6
01/11/2017,4.6
01/12/2017,4.6
01/01/2018,3.3
01/02/2018,3.3
01/03/2018,3.3
01/04/2018,2.1
01/05/2018,2.1
01/06/2018,2.1
01/07/2018,2.5
01/08/2018,2.5
01/09/2018,2.5
01/10/2018,0.6
01/11/2018,0.6
01/12/2018,0.6
01/01/2019,2.2
01/02/2019,2.2
01/03/2019,2.2
01/04/2019,3.4
01/05/2019,3.4
01/06/2019,3.4
01/07/2019,4.6
01/08/2019,4.6
01/09/2019,4.6
01/10/2019,2.6
01/11/2019,2.6
01/12/2019,2.6
01/01/2020,-5.3
01/02/2020,-5.3
01/03/2020,-5.3
01/04/2020,-28
01/05/2020,-28
01/06/2020,-28
01/07/2020,34.8
01/08/2020,34.8
01/09/2020,34.8
01/10/2020,4.2
01/11/2020,4.2
01/12/2020,4.2
01/01/2021,5.2
01/02/2021,5.2
01/03/2021,5.2
01/04/2021,6.2
01/05/2021,6.2
01/06/2021,6.2
01/07/2021,3.3
01/08/2021,3.3
01/09/2021,3.3
01/10/2021,7
01/11/2021,7
01/12/2021,7
01/01/2022,-2
01/02/2022,-2
01/03/2022,-2
01/04/2022,-0.6
01/05/2022,-0.6
01/06/2022,-0.6
01/07/2022,2.7
01/08/2022,2.7
01/09/2022,2.7
01/10/2022,2.6
01/11/2022,2.6
01/12/2022,2.6
